itemID|demandPrediction
1|26
2|2
3|0
4|4
5|3
6|52
7|0
8|0
9|0
10|2
11|6
12|3
13|0
14|0
15|0
16|0
17|1
18|4
19|3
20|0
21|1
22|0
23|0
24|0
25|0
26|2
27|0
28|1
29|1
30|0
31|100
32|0
33|0
34|0
35|373
36|1
37|0
38|1
39|10
40|0
41|0
42|0
43|0
44|2
45|0
47|1
49|4
50|1
51|0
52|2
53|0
54|0
55|0
56|0
57|0
59|0
60|0
61|0
62|2
63|0
64|1
65|1
66|0
67|1
68|0
69|0
70|0
71|0
72|1
73|1
74|1
75|1
76|0
77|4
78|0
80|0
81|0
82|0
83|0
84|15
85|7
86|25
87|0
88|0
89|0
90|0
91|1
92|1
93|0
94|1
95|0
96|0
97|0
98|4
99|0
100|0
101|1
102|1
103|1
104|0
105|0
106|2
108|0
109|3
110|0
111|0
112|1
113|2
114|1
115|0
116|0
117|14
118|3
119|0
120|0
121|0
122|0
123|1
124|0
127|0
128|1
129|0
130|77
131|1
132|0
133|0
134|0
135|0
136|0
137|1
138|7
139|0
140|0
141|0
142|1
143|11
144|0
145|0
146|2
147|0
148|1
149|1
150|3
151|0
152|8
153|0
154|0
155|0
156|0
157|11
158|3
159|0
160|0
161|0
162|0
163|2
164|0
165|0
166|0
167|2
168|0
169|4
170|1
171|1
172|2
173|3
174|0
175|2
176|0
177|0
178|5
179|12
180|41
181|1
182|6
183|2
184|0
185|0
186|1
187|3
188|0
189|0
190|0
191|0
192|2
193|0
194|2
195|1
196|1
198|1
199|35
200|0
201|2
202|3
203|2
204|0
205|0
206|98
207|0
208|5
209|1
210|1
211|10
212|2
213|0
214|0
215|0
216|1
217|0
218|8
219|0
220|1
221|1
222|0
223|0
224|0
225|0
226|0
227|0
228|2
229|0
230|0
231|9
232|0
233|0
234|6
235|1
236|0
237|1
238|0
239|0
240|1
241|2
243|12
244|0
245|0
246|0
247|17
248|5
249|2
250|19
251|81
252|0
253|8
254|0
255|0
256|0
257|0
258|0
259|0
260|0
261|0
262|1
263|0
264|3
265|1
266|0
267|0
268|0
269|0
270|0
271|0
272|0
273|0
274|0
275|0
276|0
278|0
279|0
280|0
281|1
282|0
283|0
284|0
285|0
286|2
287|1
288|2
289|0
290|0
291|1
292|1
293|0
294|3
295|1
296|0
297|16
298|4
299|6
301|0
302|0
303|0
304|0
305|0
306|0
307|0
308|0
309|0
311|0
312|5
313|0
314|6
315|0
316|9
317|9
318|86
319|0
320|16
321|0
322|0
323|0
324|2
325|78
326|0
327|0
328|2
329|0
330|0
331|0
332|0
333|0
334|0
335|0
336|1
337|0
338|0
339|4
340|0
341|1
342|9
343|1
344|1
345|0
346|1
347|0
348|0
349|0
350|0
351|0
352|0
353|6
354|1
355|6
356|28
357|0
358|1
359|0
360|3
361|141
362|1
363|2
365|0
366|1
367|56
368|2
369|1
370|0
371|3
372|90
373|0
374|0
375|0
376|0
377|87
378|0
379|0
380|0
381|203
382|0
383|1
384|1
385|0
386|0
387|1
388|3
389|3
390|75
391|1
392|1
393|2
394|0
395|0
396|1
397|0
398|0
399|0
400|0
401|17
402|47
403|70
404|7
405|32
406|119
407|0
408|0
409|0
410|0
411|0
412|0
413|1
414|0
415|0
416|2
417|9
418|0
419|16
420|0
422|0
423|0
424|0
425|33
426|0
427|2
428|0
429|4
430|0
431|0
432|0
433|18
434|195
435|0
436|50
437|1
438|0
439|2
440|1
441|2
442|1
443|0
444|1
445|0
446|3
447|0
448|0
449|1
450|1
451|1
452|0
453|0
454|2
455|2
456|1
457|91
458|4
459|87
460|2
461|1
462|2
463|40
464|49
465|0
466|0
467|1
468|1
469|4
470|1
471|0
472|20
473|0
474|0
475|0
476|0
477|0
478|0
479|1
480|0
481|0
482|1
483|0
484|1
485|1
486|0
487|1
488|1
489|2
490|1
491|5
492|4
493|1
494|1
495|0
496|0
497|5
498|0
499|0
500|6
501|0
502|4
503|0
504|0
505|0
506|0
507|3
508|1
509|0
510|1
511|200
512|0
513|0
514|0
515|0
516|36
517|1
518|1
519|6
520|1
521|97
522|99
523|4
524|18
525|1
526|0
527|0
528|0
529|0
530|0
531|63
532|0
533|16
534|23
535|2
536|1
537|3
538|0
539|0
540|0
541|0
542|0
543|1
544|0
545|0
546|0
547|0
548|0
549|0
550|0
551|0
553|0
554|3
555|0
556|6
557|0
558|0
560|1
561|16
562|0
563|0
564|1
565|1
566|0
567|1
568|130
569|49
570|1
571|0
572|1
573|0
574|27
575|0
576|0
577|1
578|0
579|0
580|0
581|10
582|0
583|33
584|1
585|26
586|34
587|0
588|0
589|9
590|3
591|0
592|0
593|1
594|0
595|0
596|5
597|1
598|1
599|1
600|0
601|1
602|3
603|0
604|0
605|0
606|1
607|0
608|1
609|1
610|1
611|1
612|3
613|4
614|0
615|1
616|0
617|0
618|0
619|89
620|0
621|2
622|0
623|0
624|1
625|0
626|7
627|0
628|0
629|2
630|0
631|1
632|24
633|0
634|0
635|1
636|0
637|0
638|0
639|1
640|0
641|3
642|1
643|76
644|46
645|0
646|0
647|0
648|3
649|1
650|0
651|1
652|0
653|0
654|23
655|0
656|0
657|66
658|99
659|494
660|58
661|172
662|0
663|0
664|8
665|1
666|0
667|0
668|0
669|0
670|0
671|1
672|48
673|3
674|1
675|1
676|17
677|1
678|0
679|0
680|0
681|0
682|4
683|2
684|0
685|1
686|0
687|1
688|1
689|0
690|0
691|0
692|1
693|4
694|1
695|0
696|0
697|0
698|0
699|0
700|0
701|3
702|0
703|0
704|7
705|1
706|1
707|0
708|0
709|1
710|0
711|0
712|0
713|1
714|0
715|1
716|1
717|1
718|0
719|0
720|1
721|1
722|2
723|0
724|0
726|0
727|28
728|13
729|0
730|0
731|0
732|0
733|0
734|0
735|0
736|0
737|0
738|0
739|0
740|0
741|0
742|0
743|0
744|0
745|0
746|0
747|0
748|0
749|0
750|0
751|0
752|1
753|0
754|0
755|0
756|0
757|0
758|0
759|0
760|1
761|1
762|1
763|0
764|1
765|0
766|0
767|0
768|0
769|1
770|2
771|0
772|6
773|11
774|0
775|2
776|5
777|1
778|11
779|2
780|0
781|0
782|0
783|0
784|2
785|4
786|0
787|2
788|0
789|0
791|2
792|0
793|1
794|1
795|1
796|0
797|0
798|0
799|0
800|0
801|2
802|0
803|0
804|1
805|0
806|3
807|1
808|0
809|0
810|0
811|65
812|0
813|2
814|0
815|13
816|0
817|8
818|3
819|0
820|0
821|11
822|0
823|3
824|0
825|1
826|46
827|1
828|2
829|0
830|0
831|0
832|0
833|2
834|25
835|0
836|3
837|10
838|6
839|0
840|5
841|7
842|50
843|0
844|12
845|6
846|1
847|1
848|1
849|7
850|126
851|0
852|0
853|0
854|5
855|1
856|6
857|1
858|0
859|2
860|1
861|0
862|4
863|0
864|12
865|47
866|0
867|0
868|0
869|14
870|0
871|1
872|0
873|0
874|0
875|0
876|1
877|0
878|1
879|0
880|0
881|0
882|0
883|0
884|11
885|1
886|0
887|0
888|0
889|0
890|0
891|1
892|1
893|2
894|2
895|0
896|0
897|0
898|4
899|0
900|4
901|0
902|0
903|0
904|0
905|0
906|0
907|0
909|1
910|0
911|1
912|0
913|1
914|1
915|0
916|0
917|0
918|0
919|2
920|6
921|0
922|8
923|4
924|0
925|1
926|2
927|0
928|1
929|2
930|1
931|3
932|7
933|3
934|0
935|2
936|14
937|1
938|0
939|0
940|0
941|0
942|0
943|0
944|2
945|1
946|2
947|0
948|0
949|0
950|0
951|0
952|1
953|0
954|0
955|0
956|3
957|14
958|0
959|5
960|13
961|8
962|10
963|0
964|2
965|32
966|2
967|9
968|0
969|2
970|0
971|0
972|3
974|0
975|0
976|0
977|0
978|0
979|0
980|0
981|3
982|0
983|0
984|0
985|6
986|1
987|0
988|1
989|0
990|2
991|0
992|0
993|0
994|0
995|0
996|1
997|0
998|5
999|0
