itemID|brand|manufacturer|customerRating|category1|category2|category3|recommendedRetailPrice|minSalesPrice|maxSalesPrice|meanSalesPrice|minSalesPriceCounts|maxSalesPriceCounts|unitsSold|revenue|relRevenue|dateFirstSell|dateLastSell|soldDaily|soldWeekly|soldMonthly|recentlySold
1|0|1|4.38|1|1|1|8.84|3.11|3.11|3.109999999999964|690.0|690.0|690.0|2145.9|2.949022403855543e-05|2018-01-23|2018-05-24|0.23770491803278687|0.8333333333333334|1.0|9.0
2|0|2|3.0|1|2|2|16.92|9.15|9.15|9.15|5.0|5.0|5.0|45.75|6.287234958590385e-07|2018-02-24|2018-05-29|0.042105263157894736|0.26666666666666666|0.5|4.0
3|0|3|5.0|1|3|3|15.89|9.89|14.04|11.918370786516832|91.0|99.0|190.0|2289.95|3.1469844138631804e-05|2018-01-10|2018-05-16|0.08661417322834646|0.3684210526315789|0.8|17.0
4|0|2|4.44|1|2|2|40.17|13.01|13.01|13.009999999999993|53.0|53.0|53.0|689.53|9.4759281333264e-06|2018-01-18|2018-05-30|0.06015037593984962|0.4|0.8|3.0
5|0|2|2.33|1|1|1|17.04|7.48|7.84|7.740377358490576|49.0|128.0|177.0|1370.04|1.882789810419054e-05|2018-01-06|2018-05-30|0.07586206896551724|0.36363636363636365|0.8|3.0
6|0|2|4.2|1|2|2|20.9|13.81|17.25|17.23471111111111|1.0|268.0|269.0|4636.81|6.372177907834205e-05|2018-02-14|2018-05-31|0.07476635514018691|0.375|0.75|2.0
7|0|3|4.0|1|3|3|26.4|34.39|34.39|34.39|1.0|1.0|1.0|34.39|4.726076726249691e-07|2018-02-04|2018-02-04|1.0|1.0|1.0|118.0
8|0|4|5.0|1|1|1|14.13|4.26|5.33|5.053959390862949|24.0|102.0|223.0|1128.96|1.5514834489290058e-05|2018-01-18|2018-05-17|0.075|0.3333333333333333|1.0|16.0
9|0|5|5.0|1|1|1|165.06|199.84|199.84|199.83999999999997|10.0|10.0|10.0|1998.4|2.746319200272574e-05|2018-01-01|2018-04-26|0.04310344827586207|0.29411764705882354|0.75|37.0
10|0|4|5.0|1|1|1|19.43|24.17|25.69|25.43127659574455|74.0|356.0|430.0|10934.220000000001|0.00015026450323260803|2018-02-15|2018-05-31|0.14150943396226415|0.4375|1.0|2.0
11|0|2|4.88|1|2|2|9.22|2.13|2.13|2.1299999999999963|245.0|245.0|245.0|521.85|7.171570629815066e-06|2018-01-01|2018-05-30|0.19333333333333333|0.8181818181818182|1.0|3.0
12|0|2|5.0|1|3|3|10.15|2.11|2.11|2.1100000000000065|140.0|140.0|140.0|295.4|4.0595611076887425e-06|2018-01-03|2018-05-29|0.07482993197278912|0.36363636363636365|0.6|4.0
13|0|4|3.33|1|1|1|20.24|10.83|11.6|11.538399999999942|29.0|320.0|349.0|4026.07|5.532862961690053e-05|2018-02-03|2018-04-16|0.1232876712328767|0.5|1.0|47.0
14|0|2|0.0|1|4|4|13.07|29.67|29.67|29.67|4.0|4.0|4.0|118.68|1.6309705899136765e-06|2018-01-16|2018-03-23|0.05970149253731343|0.3|1.0|71.0
15|0|6|0.0|1|5|5|552.5|706.85|722.48|714.2666071428574|7.0|7.0|56.0|39998.93|0.0005496888983654857|2018-01-04|2018-05-11|0.09375|0.5263157894736842|1.0|22.0
16|0|6|4.83|1|5|5|96.38|159.61|159.61|159.61000000000007|27.0|27.0|27.0|4309.47|5.922327964370822e-05|2018-01-17|2018-04-05|0.10126582278481013|0.5|1.0|58.0
17|0|7|5.0|1|1|1|13.79|26.38|26.38|26.38000000000008|199.0|199.0|199.0|5249.62|7.214337570123553e-05|2018-01-15|2018-05-20|0.1349206349206349|0.6111111111111112|1.0|13.0
18|0|8|0.0|1|1|1|12.51|7.21|7.21|7.210000000000023|420.0|420.0|420.0|3028.2|4.161531126033531e-05|2018-01-07|2018-05-30|0.2638888888888889|0.7727272727272727|1.0|3.0
19|0|9|3.0|1|1|1|63.5|77.64|79.68|78.90056603773607|85.0|133.0|218.0|17196.84|0.00023632912267821963|2018-01-01|2018-05-31|0.10596026490066225|0.5909090909090909|1.0|2.0
20|0|6|5.0|1|5|5|566.03|605.04|605.04|605.04|4.0|4.0|4.0|2420.16|3.3259266792092034e-05|2018-01-03|2018-01-03|1.0|1.0|1.0|150.0
21|0|10|5.0|1|3|3|14.5|5.44|5.44|5.44|6.0|6.0|6.0|32.64|4.485581399964813e-07|2018-02-09|2018-05-30|0.05405405405405406|0.29411764705882354|1.0|3.0
22|0|10|3.0|1|5|5|36.16|37.38|37.38|37.380000000000045|50.0|50.0|50.0|1869.0000000000002|2.5684900847224985e-05|2018-01-25|2018-03-23|0.10344827586206896|0.3333333333333333|1.0|71.0
