support,itemsets
0.015580872145900149,frozenset({2582})
0.013929443300942989,frozenset({4485})
0.013785840792685846,frozenset({2678})
0.013761907041309656,frozenset({5136})
0.012541285721123929,frozenset({4418})
0.010722320616533436,frozenset({5445})
0.010674453113781054,frozenset({5448})
0.010004308075247714,frozenset({8404})
0.008903355511942941,frozenset({5260})
0.00885548800919056,frozenset({5128})
0.008640084246804845,frozenset({2679})
0.008328945478914366,frozenset({2570})
0.007922071705519123,frozenset({6940})
0.00780240294863817,frozenset({7765})
0.007754535445885788,frozenset({5122})
0.007610932937628644,frozenset({4877})
0.0073955291752429275,frozenset({4916})
0.007371595423866737,frozenset({4928})
0.007180125412857211,frozenset({8436})
0.0071322579101048295,frozenset({6646})
0.006988655401847685,frozenset({5089})
0.0068689866449667325,frozenset({4926})
0.00679718539083816,frozenset({5117})
0.006581781628452444,frozenset({8076})
0.006533914125700062,frozenset({4310})
0.006509980374323872,frozenset({5041})
0.006222775357809583,frozenset({4311})
0.006198841606433392,frozenset({5251})
0.006198841606433392,frozenset({4391})
0.005935570341295294,frozenset({2406})
0.005887702838542913,frozenset({5423})
0.005815901584414341,frozenset({5065})
0.005720166578909578,"frozenset({4310, 4311})"
0.005720166578909578,frozenset({6538})
0.005624431573404816,frozenset({2614})
0.005624431573404816,frozenset({8106})
0.005600497822028625,frozenset({8482})
0.005552630319276244,frozenset({4539})
0.005385094059642909,frozenset({4918})
0.005241491551385764,"frozenset({4918, 4926})"
0.005193624048633383,frozenset({7050})
0.005169690297257192,frozenset({7840})
0.00509788904312862,frozenset({5130})
0.005073955291752429,frozenset({5155})
0.005026087789000048,frozenset({5231})
0.004954286534871476,frozenset({4519})
0.004906419032119094,frozenset({5420})
0.004858551529366713,"frozenset({4928, 5041})"
0.004786750275238141,frozenset({4962})
0.004691015269733378,frozenset({4396})
0.004691015269733378,frozenset({7789})
0.004571346512852424,frozenset({6540})
0.004475611507347661,"frozenset({7050, 6940})"
0.0044516777559714706,frozenset({2709})
0.004212340242209564,frozenset({5134})
0.004212340242209564,frozenset({4260})
0.0041884064908333735,frozenset({5121})
0.0041884064908333735,frozenset({6625})
0.0040208702312000385,"frozenset({5128, 4916})"
0.003996936479823848,frozenset({5412})
0.003996936479823848,frozenset({4874})
0.003996936479823848,frozenset({7792})
0.003996936479823848,frozenset({4261})
0.003925135225695276,frozenset({1991})
0.0038533339715667034,frozenset({5035})
0.0038533339715667034,frozenset({1256})
0.0038294002201905127,frozenset({5217})
0.0038294002201905127,frozenset({2661})
0.003805466468814322,frozenset({5029})
0.0037815327174381312,frozenset({6644})
0.0037575989660619405,frozenset({5446})
0.00373366521468575,frozenset({5021})
0.0036857977119333684,frozenset({6958})
0.0036857977119333684,frozenset({5279})
0.0035900627064286055,frozenset({6780})
0.0035900627064286055,frozenset({7955})
0.0035900627064286055,frozenset({5230})
0.0035182614523000333,frozenset({6645})
0.0034943277009238426,frozenset({5135})
0.0034943277009238426,frozenset({7014})
0.0034703939495476523,frozenset({4218})
0.0034464601981714616,frozenset({7231})
0.0033746589440428894,frozenset({8006})
0.0033746589440428894,frozenset({456})
0.0033028576899143173,frozenset({5414})
0.0032789239385381265,frozenset({2684})
0.0032789239385381265,frozenset({1886})
0.0032789239385381265,frozenset({5139})
0.003254990187161936,frozenset({7956})
0.003254990187161936,frozenset({4322})
0.003231056435785745,frozenset({5250})
0.0032071226844095544,frozenset({7316})
0.0031831889330333637,"frozenset({5250, 5251})"
0.003159255181657173,frozenset({5119})
0.003159255181657173,frozenset({6717})
0.0031353214302809822,frozenset({6548})
0.003087453927528601,"frozenset({5412, 5414})"
0.003087453927528601,"frozenset({5230, 5231})"
0.00306352017615241,frozenset({5436})
0.0030395864247762193,frozenset({4341})
0.0030395864247762193,frozenset({3406})
0.002991718922023838,frozenset({5115})
0.002991718922023838,frozenset({6939})
0.002967785170647647,frozenset({4929})
0.0029438514192714565,frozenset({2894})
0.0029438514192714565,frozenset({2204})
0.0029199176678952657,frozenset({5129})
0.0028720501651428843,frozenset({4931})
0.0028720501651428843,frozenset({8273})
0.0028241826623905033,frozenset({8085})
0.0028241826623905033,frozenset({8249})
0.0028002489110143126,frozenset({569})
0.0028002489110143126,frozenset({6544})
0.0028002489110143126,frozenset({2448})
0.002752381408261931,frozenset({6804})
0.002752381408261931,frozenset({8117})
0.002752381408261931,frozenset({2174})
0.0026566464027571682,frozenset({5123})
0.0026566464027571682,"frozenset({5065, 5279})"
0.0026327126513809775,frozenset({2682})
0.0026327126513809775,frozenset({8123})
0.002608778900004787,frozenset({4896})
0.002584845148628596,"frozenset({6538, 7316})"
0.002584845148628596,frozenset({4208})
0.002584845148628596,frozenset({8062})
0.002584845148628596,frozenset({2521})
0.0025369776458762146,"frozenset({7840, 8249})"
0.002513043894500024,frozenset({7059})
0.002513043894500024,frozenset({8040})
0.002513043894500024,frozenset({8572})
0.002489110143123833,frozenset({4937})
0.002489110143123833,frozenset({5131})
0.0024651763917476425,frozenset({4325})
0.0024651763917476425,frozenset({7938})
0.0024651763917476425,frozenset({7798})
0.0024651763917476425,frozenset({4386})
0.0024412426403714518,frozenset({6537})
0.002417308888995261,frozenset({6535})
0.0023933751376190703,frozenset({5182})
0.0023694413862428796,frozenset({7037})
0.0023694413862428796,frozenset({7850})
0.0023694413862428796,frozenset({7761})
0.002345507634866689,frozenset({3407})
0.002345507634866689,frozenset({1021})
0.002321573883490498,frozenset({6858})
0.002321573883490498,frozenset({4974})
0.002321573883490498,frozenset({8246})
0.002321573883490498,frozenset({4983})
0.002321573883490498,frozenset({8149})
0.0022976401321143074,frozenset({1189})
0.0022976401321143074,"frozenset({4260, 4485})"
0.0022976401321143074,frozenset({2543})
0.0022976401321143074,frozenset({6759})
0.0022737063807381167,frozenset({5120})
0.0022737063807381167,frozenset({5227})
0.0022737063807381167,frozenset({6955})
0.002249772629361926,frozenset({6550})
0.002249772629361926,frozenset({7869})
0.002249772629361926,frozenset({2208})
0.002249772629361926,frozenset({4255})
0.0022258388779857353,frozenset({7168})
0.0022258388779857353,frozenset({5012})
0.0022258388779857353,frozenset({7876})
0.002201905126609545,frozenset({3210})
0.002201905126609545,frozenset({8403})
0.0021779713752333543,frozenset({7963})
0.0021779713752333543,frozenset({5184})
0.0021779713752333543,frozenset({6957})
0.002130103872480973,frozenset({4382})
0.002130103872480973,frozenset({2519})
0.002130103872480973,frozenset({2639})
0.002106170121104782,frozenset({7952})
0.002106170121104782,"frozenset({7955, 7956})"
0.002106170121104782,"frozenset({4962, 5117})"
0.002106170121104782,frozenset({8462})
0.0020822363697285914,frozenset({3211})
0.0020822363697285914,frozenset({3410})
0.0020822363697285914,"frozenset({4937, 7014})"
0.0020822363697285914,frozenset({5439})
0.0020583026183524007,frozenset({5132})
0.0020583026183524007,frozenset({7942})
0.0020583026183524007,frozenset({4616})
0.0020583026183524007,frozenset({4219})
0.0020583026183524007,frozenset({5125})
0.0020583026183524007,frozenset({1024})
0.00203436886697621,frozenset({5454})
0.00203436886697621,frozenset({8219})
0.00203436886697621,frozenset({6533})
0.0020104351156000192,"frozenset({6939, 6940})"
0.0020104351156000192,frozenset({6525})
0.0019865013642238285,"frozenset({6858, 6646})"
0.0019865013642238285,frozenset({4324})
0.0019865013642238285,frozenset({8155})
0.001962567612847638,"frozenset({6644, 6646})"
0.001962567612847638,frozenset({7054})
0.001962567612847638,frozenset({2198})
0.001962567612847638,frozenset({8043})
0.001962567612847638,frozenset({4244})
0.001962567612847638,frozenset({5432})
0.001938633861471447,frozenset({6497})
0.001938633861471447,frozenset({7827})
0.001938633861471447,frozenset({3201})
0.0019147001100952563,frozenset({8200})
0.0019147001100952563,frozenset({2350})
0.0019147001100952563,frozenset({4223})
0.0019147001100952563,frozenset({4917})
0.0018907663587190656,frozenset({4578})
0.0018907663587190656,frozenset({251})
0.0018907663587190656,frozenset({5221})
0.0018907663587190656,frozenset({7877})
0.0018907663587190656,frozenset({3411})
0.0018907663587190656,frozenset({5126})
0.001866832607342875,frozenset({8051})
0.001866832607342875,frozenset({8035})
0.001866832607342875,frozenset({5437})
0.001866832607342875,frozenset({381})
0.001866832607342875,frozenset({193})
0.0018428988559666842,frozenset({8738})
0.0018428988559666842,frozenset({8061})
0.0018428988559666842,frozenset({4517})
0.0018428988559666842,frozenset({7990})
0.0018428988559666842,frozenset({6551})
0.0018428988559666842,"frozenset({4324, 4325})"
0.0018428988559666842,frozenset({5116})
0.0018189651045904935,frozenset({2891})
0.0018189651045904935,frozenset({6495})
0.0018189651045904935,frozenset({834})
0.0018189651045904935,frozenset({4297})
0.0017950313532143027,frozenset({7837})
0.0017950313532143027,frozenset({2708})
0.0017950313532143027,frozenset({4293})
0.0017950313532143027,frozenset({7924})
0.0017950313532143027,frozenset({6781})
0.0017950313532143027,frozenset({4242})
0.0017950313532143027,frozenset({5124})
0.001771097601838112,frozenset({7898})
0.001771097601838112,frozenset({3568})
0.001771097601838112,frozenset({5127})
0.0017471638504619213,frozenset({6526})
0.0017471638504619213,frozenset({7967})
0.0017471638504619213,frozenset({3403})
0.0017471638504619213,frozenset({8371})
0.0017471638504619213,frozenset({3408})
0.0017232300990857308,frozenset({3461})
0.0017232300990857308,frozenset({6912})
0.0017232300990857308,frozenset({8405})
0.0017232300990857308,frozenset({6985})
0.0017232300990857308,"frozenset({4485, 4261})"
0.00169929634770954,frozenset({8732})
0.00169929634770954,frozenset({6552})
0.00169929634770954,frozenset({8130})
0.00169929634770954,frozenset({3462})
0.00169929634770954,frozenset({5022})
0.00169929634770954,frozenset({5011})
0.00169929634770954,frozenset({4374})
0.00169929634770954,frozenset({8033})
0.00169929634770954,frozenset({7960})
0.0016753625963333494,frozenset({2212})
0.0016753625963333494,frozenset({8190})
0.0016514288449571586,frozenset({4241})
0.0016514288449571586,frozenset({6774})
0.0016514288449571586,frozenset({7946})
0.0016514288449571586,frozenset({5266})
0.0016514288449571586,frozenset({8068})
0.001627495093580968,frozenset({5030})
0.001627495093580968,frozenset({9712})
0.001627495093580968,"frozenset({5448, 5423})"
0.001627495093580968,frozenset({4227})
0.001627495093580968,frozenset({4258})
0.001627495093580968,frozenset({2672})
0.001627495093580968,frozenset({7804})
0.001627495093580968,frozenset({8064})
0.001627495093580968,frozenset({4980})
0.001627495093580968,frozenset({7944})
0.0016035613422047772,frozenset({2713})
0.0016035613422047772,frozenset({7788})
0.0016035613422047772,frozenset({2042})
0.0016035613422047772,frozenset({8292})
0.0016035613422047772,frozenset({3207})
0.0016035613422047772,frozenset({8498})
0.0015796275908285865,frozenset({7845})
