index|itemID|simulationPrice|promotion|promotion_train|promotion_test|predicted_promotion
0|1|3.43||[datetime.date(2018, 1, 29), datetime.date(2018, 4, 23)]|[]|2018-01-29
0|1|3.43||[datetime.date(2018, 1, 29), datetime.date(2018, 4, 23)]|[]|2018-04-23
1|2|9.15||[]|[]|
2|3|14.04||[datetime.date(2018, 2, 8)]|[datetime.date(2018, 6, 6)]|2018-02-08
2|3|14.04||[datetime.date(2018, 2, 8)]|[datetime.date(2018, 6, 6)]|2018-06-06
3|4|14.1||[]|[]|
4|5|7.48||[datetime.date(2018, 4, 17)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7)]|2018-04-17
4|5|7.48||[datetime.date(2018, 4, 17)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7)]|2018-06-06
4|5|7.48||[datetime.date(2018, 4, 17)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7)]|2018-06-07
5|6|17.25||[datetime.date(2018, 5, 11)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 10)]|2018-05-11
5|6|17.25||[datetime.date(2018, 5, 11)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 10)]|2018-06-02
5|6|17.25||[datetime.date(2018, 5, 11)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 10)]|2018-06-04
5|6|17.25||[datetime.date(2018, 5, 11)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 10)]|2018-06-05
5|6|17.25||[datetime.date(2018, 5, 11)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 10)]|2018-06-10
6|7|34.39||[]|[]|
7|8|4.98||[datetime.date(2018, 3, 27), datetime.date(2018, 5, 17)]|[]|2018-03-27
7|8|4.98||[datetime.date(2018, 3, 27), datetime.date(2018, 5, 17)]|[]|2018-05-17
8|9|199.84||[]|[]|
9|10|24.17||[datetime.date(2018, 2, 19)]|[datetime.date(2018, 6, 6)]|2018-02-19
9|10|24.17||[datetime.date(2018, 2, 19)]|[datetime.date(2018, 6, 6)]|2018-06-06
10|11|2.13||[datetime.date(2018, 4, 17)]|[]|2018-04-17
11|12|2.11||[datetime.date(2018, 5, 8)]|[datetime.date(2018, 6, 13)]|2018-05-08
11|12|2.11||[datetime.date(2018, 5, 8)]|[datetime.date(2018, 6, 13)]|2018-06-13
12|13|10.83||[datetime.date(2018, 2, 19)]|[]|2018-02-19
13|14|29.67||[]|[]|
14|15|720.5||[]|[]|
15|16|159.61||[]|[datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-11
15|16|159.61||[]|[datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-12
16|17|26.38||[datetime.date(2018, 4, 17)]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 15)]|2018-04-17
16|17|26.38||[datetime.date(2018, 4, 17)]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 15)]|2018-06-08
16|17|26.38||[datetime.date(2018, 4, 17)]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 15)]|2018-06-15
17|18|7.21||[datetime.date(2018, 2, 21)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 11), datetime.date(2018, 6, 13)]|2018-02-21
17|18|7.21||[datetime.date(2018, 2, 21)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 11), datetime.date(2018, 6, 13)]|2018-06-02
17|18|7.21||[datetime.date(2018, 2, 21)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 11), datetime.date(2018, 6, 13)]|2018-06-11
17|18|7.21||[datetime.date(2018, 2, 21)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 11), datetime.date(2018, 6, 13)]|2018-06-13
18|19|79.68||[]|[]|
19|20|605.04||[]|[]|
20|21|5.44||[]|[datetime.date(2018, 6, 11)]|2018-06-11
21|22|37.38||[]|[]|
22|23|31.58||[]|[]|
23|24|1.81||[]|[]|
24|25|10.5||[]|[datetime.date(2018, 6, 15)]|2018-06-15
25|26|14.27|2018-07-13|[datetime.date(2018, 1, 1)]|[]|2018-01-01
26|27|1.64|2018-07-13|[datetime.date(2018, 1, 18)]|[]|2018-01-18
27|28|67.75||[datetime.date(2018, 4, 17)]|[]|2018-04-17
28|29|56.13|2018-07-13|[datetime.date(2018, 2, 17)]|[]|2018-02-17
29|30|82.67||[]|[]|
30|31|14.12||[datetime.date(2018, 1, 29), datetime.date(2018, 5, 29)]|[datetime.date(2018, 6, 6)]|2018-01-29
30|31|14.12||[datetime.date(2018, 1, 29), datetime.date(2018, 5, 29)]|[datetime.date(2018, 6, 6)]|2018-05-29
30|31|14.12||[datetime.date(2018, 1, 29), datetime.date(2018, 5, 29)]|[datetime.date(2018, 6, 6)]|2018-06-06
31|32|32.09||[datetime.date(2018, 1, 29), datetime.date(2018, 4, 23)]|[]|2018-01-29
31|32|32.09||[datetime.date(2018, 1, 29), datetime.date(2018, 4, 23)]|[]|2018-04-23
32|33|44.12||[]|[]|
33|34|80.28||[]|[]|
34|35|337.84|2018-07-01,2018-07-02,2018-07-13|[datetime.date(2018, 1, 1), datetime.date(2018, 5, 25)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-01-01
34|35|337.84|2018-07-01,2018-07-02,2018-07-13|[datetime.date(2018, 1, 1), datetime.date(2018, 5, 25)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-05-25
34|35|337.84|2018-07-01,2018-07-02,2018-07-13|[datetime.date(2018, 1, 1), datetime.date(2018, 5, 25)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-04
34|35|337.84|2018-07-01,2018-07-02,2018-07-13|[datetime.date(2018, 1, 1), datetime.date(2018, 5, 25)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-05
34|35|337.84|2018-07-01,2018-07-02,2018-07-13|[datetime.date(2018, 1, 1), datetime.date(2018, 5, 25)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-06
34|35|337.84|2018-07-01,2018-07-02,2018-07-13|[datetime.date(2018, 1, 1), datetime.date(2018, 5, 25)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-10
34|35|337.84|2018-07-01,2018-07-02,2018-07-13|[datetime.date(2018, 1, 1), datetime.date(2018, 5, 25)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-11
